,background,1,2,3,4
solution,0.000306862,0.001026685,6.38E-08,0.009051938,0.022792531
wat,0.00337518,5.13E-08,6.38E-08,6.03E-08,1.52E-07
hav,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
confusing....,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
all,0.009818648,5.13E-08,6.38E-08,6.03E-08,1.52E-07
agreement,3.07E-08,5.13E-08,6.38E-08,0.009051938,1.52E-07
5hrs,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
desktop,3.07E-08,5.13E-08,6.38E-08,6.03E-08,0.024312023
mesomething,3.07E-08,5.13E-08,6.38E-08,0.000603519,1.52E-07
all!,3.07E-08,0.007186487,6.38E-08,6.03E-08,1.52E-07
hoody,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
momma,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
okkaaaaayyyy.,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
criticize,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
day,0.000306862,0.002566635,6.38E-08,6.03E-08,1.52E-07
weighed,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
questions,0.000306862,5.13E-08,6.38E-08,0.000603519,1.52E-07
longest,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
can,0.001227358,0.002566635,0.014038602,6.03E-08,1.52E-07
talk,0.000920526,5.13E-08,6.38E-08,6.03E-08,1.52E-07
mates,0.00153419,5.13E-08,0.022972218,6.03E-08,1.52E-07
real,3.07E-08,5.13E-08,0.000638179,6.03E-08,1.52E-07
ok...,3.07E-08,5.13E-08,0.008295564,6.03E-08,1.52E-07
spongebob<3,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
a-the,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
water.,0.000306862,0.000513368,6.38E-08,0.007845021,1.52E-07
prefer,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
0.525,3.07E-08,0.001026685,6.38E-08,6.03E-08,1.52E-07
#1,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
the,0.048786285,0.08675059,0.032543948,0.042845616,0.150429857
worksheet.,0.000306862,5.13E-08,6.38E-08,0.017500358,1.52E-07
people,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
attracts,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
s034,0.000613694,0.000513368,0.00191441,6.03E-08,1.52E-07
yellow,0.001227358,0.001026685,6.38E-08,6.03E-08,1.52E-07
took,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
supposedtoask,3.07E-08,5.13E-08,6.38E-08,0.000603519,1.52E-07
that,0.00337518,0.011806338,0.016591064,6.03E-08,1.52E-07
0.62,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
dissolve,0.000613694,0.001026685,6.38E-08,6.03E-08,1.52E-07
empty,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
s039.,3.07E-08,5.13E-08,0.000638179,6.03E-08,1.52E-07
back,0.005523003,5.13E-08,6.38E-08,6.03E-08,1.52E-07
yuee,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
weird,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
{s027},0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
haha,0.002147853,5.13E-08,6.38E-08,6.03E-08,1.52E-07
tht,0.00153419,5.13E-08,6.38E-08,6.03E-08,1.52E-07
travel,3.07E-08,0.002053319,6.38E-08,6.03E-08,1.52E-07
dnt,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
dont,0.003068349,5.13E-08,0.001276295,6.03E-08,1.52E-07
student.,3.07E-08,0.007186487,6.38E-08,6.03E-08,1.52E-07
membrane,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
putting,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
fact,0.000920526,5.13E-08,6.38E-08,6.03E-08,1.52E-07
working,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
mines,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
c-the,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
conditon,0.000306862,0.000513368,6.38E-08,0.000603519,1.52E-07
absord,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
wrote,0.000920526,5.13E-08,6.38E-08,6.03E-08,1.52E-07
stupid.,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
0.54,3.07E-08,0.001026685,6.38E-08,6.03E-08,1.52E-07
sumbody,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
knowledge,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
strategy,3.07E-08,0.007186487,6.38E-08,6.03E-08,1.52E-07
hour!!!!!!!!!!!!!!!!!!!!!!!!!,3.07E-08,5.13E-08,6.38E-08,0.000603519,1.52E-07
before,3.07E-08,0.001026685,6.38E-08,6.03E-08,1.52E-07
water...,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
viseo,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
going,0.003682012,0.001026685,6.38E-08,0.009051938,1.52E-07
outside,3.07E-08,0.002053319,6.38E-08,6.03E-08,1.52E-07
{s006},0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
swear,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
finger,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
specific,3.07E-08,0.007699803,6.38E-08,6.03E-08,1.52E-07
guessed,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
hello!,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
thought,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
it's,0.000613694,0.001026685,6.38E-08,6.03E-08,1.52E-07
concur,0.000306862,0.000513368,6.38E-08,6.03E-08,1.52E-07
work,0.000613694,0.001026685,6.38E-08,6.03E-08,1.52E-07
happen..okay,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
i'd,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
{s003},0.000306862,5.13E-08,0.002552525,6.03E-08,1.52E-07
touch,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
yess,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
outside;,3.07E-08,5.13E-08,6.38E-08,6.03E-08,0.004558628
b,0.001841021,0.00821312,6.38E-08,0.027759153,1.52E-07
computer,3.07E-08,0.000513368,0.000638179,6.03E-08,1.52E-07
waight',3.07E-08,0.001026685,6.38E-08,6.03E-08,1.52E-07
typewriter,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
pretty,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
s057,0.000613694,5.13E-08,0.001276295,6.03E-08,1.52E-07
numbers,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
wanna,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
{s022},0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
come,3.07E-08,0.001540002,6.38E-08,0.000603519,1.52E-07
more,0.000306862,0.003079952,0.008295564,6.03E-08,1.52E-07
easier,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
onn!!!,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
toast,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
saying,0.000920526,5.13E-08,0.002552525,6.03E-08,1.52E-07
failed,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
youu,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
observe,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
dint,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
from,0.01012548,0.001026685,0.014676718,6.03E-08,1.52E-07
will,0.008898153,0.047225197,6.38E-08,6.03E-08,1.52E-07
hand,0.000920526,5.13E-08,6.38E-08,6.03E-08,1.52E-07
soes,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
lollipop,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
student,3.07E-08,5.13E-08,0.008295564,6.03E-08,1.52E-07
{s049},0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
number,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
s011,3.07E-08,5.13E-08,0.001276295,6.03E-08,1.52E-07
growing,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
:-,3.07E-08,0.007699803,6.38E-08,6.03E-08,1.52E-07
keys,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
lugol's,3.07E-08,5.13E-08,6.38E-08,6.03E-08,0.022792531
foot,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
box,0.002454685,0.001540002,6.38E-08,6.03E-08,1.52E-07
asking,0.00153419,5.13E-08,0.014676718,6.03E-08,1.52E-07
it!,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
s021.,3.07E-08,5.13E-08,0.000638179,6.03E-08,1.52E-07
causing,3.07E-08,0.001026685,6.38E-08,6.03E-08,1.52E-07
maybe,0.000306862,0.000513368,6.38E-08,6.03E-08,1.52E-07
inside;,3.07E-08,5.13E-08,6.38E-08,6.03E-08,0.004558628
grams,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
model,0.000306862,0.001540002,6.38E-08,0.007845021,1.52E-07
birthday,0.000306862,5.13E-08,6.38E-08,6.03E-08,0.001519644
they,0.00337518,0.001026685,0.005743102,6.03E-08,1.52E-07
arent!,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
thnx,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
one....,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
team,0.00153419,5.13E-08,0.022972218,6.03E-08,1.52E-07
huh,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
onn!,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
siting,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
guy,0.00153419,5.13E-08,6.38E-08,6.03E-08,1.52E-07
using,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
what're,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
guys.,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
i'm,0.00153419,5.13E-08,0.000638179,6.03E-08,1.52E-07
iin,3.07E-08,0.001026685,6.38E-08,6.03E-08,1.52E-07
though,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
glucose.,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
hrs,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
southside,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
room,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
gained,3.07E-08,0.002566635,6.38E-08,6.03E-08,1.52E-07
may,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
looked,3.07E-08,0.001026685,6.38E-08,6.03E-08,1.52E-07
saying.,0.00153419,5.13E-08,0.003828756,6.03E-08,1.52E-07
thing.,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
teh,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
haah!,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
so,0.013193798,0.003593269,0.022972218,6.03E-08,1.52E-07
once,3.07E-08,0.001026685,6.38E-08,6.03E-08,1.52E-07
bottomof,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
own,0.000306862,5.13E-08,0.009571795,0.000603519,1.52E-07
responsible,3.07E-08,0.007186487,6.38E-08,0.00844848,1.52E-07
s037.,3.07E-08,5.13E-08,0.000638179,6.03E-08,1.52E-07
other,0.001227358,5.13E-08,0.008295564,6.03E-08,0.001519644
asdfjkl;,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
tought,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
jeeze!,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
eno,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
says,0.001227358,5.13E-08,6.38E-08,6.03E-08,1.52E-07
placed,3.07E-08,0.000513368,6.38E-08,0.00844848,1.52E-07
asked,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
take,0.000613694,0.000513368,6.38E-08,6.03E-08,1.52E-07
brain,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
s058,0.00153419,0.000513368,0.001276295,0.000603519,1.52E-07
introducing,3.07E-08,5.13E-08,6.38E-08,0.00844848,1.52E-07
group,0.00153419,5.13E-08,6.38E-08,6.03E-08,1.52E-07
4,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
