,background,1,2,3,4
can,0.004380816,5.84E-08,1.27E-07,0.008361771,1.22E-07
talk,2.31E-08,0.001751255,1.27E-07,6.97E-08,1.22E-07
mates,2.31E-08,5.84E-08,1.27E-07,0.028569215,1.22E-07
real,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
ok...,2.31E-08,5.84E-08,1.27E-07,0.009058579,1.22E-07
spongebob<3,2.31E-08,5.84E-08,0.00127059,6.97E-08,1.22E-07
a-the,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
water.,2.31E-08,0.00875604,1.27E-07,6.97E-08,1.22E-07
prefer,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
0.525,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
#1,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
the,0.123123352,0.006421111,0.003811516,0.000696878,1.22E-07
worksheet.,0.000230591,0.016928289,1.27E-07,6.97E-08,1.22E-07
people,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
attracts,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
s034,0.000461159,5.84E-08,0.00127059,0.000696878,0.002447759
yellow,0.001383431,5.84E-08,1.27E-07,6.97E-08,1.22E-07
took,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
supposedtoask,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
that,0.008761608,5.84E-08,0.002541053,0.013936238,1.22E-07
0.62,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.001223941
dissolve,0.000230591,5.84E-08,0.003811516,6.97E-08,1.22E-07
empty,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
s039.,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
back,2.31E-08,5.84E-08,0.021597996,6.97E-08,0.001223941
yuee,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
weird,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
{s027},2.31E-08,0.00058379,1.27E-07,6.97E-08,1.22E-07
haha,0.001152863,0.00058379,0.00127059,6.97E-08,1.22E-07
tht,0.001152863,5.84E-08,1.27E-07,6.97E-08,1.22E-07
travel,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.004895396
dnt,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
dont,0.000922295,0.004086183,0.00127059,6.97E-08,1.22E-07
student.,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.01713358
membrane,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.002447759
putting,2.31E-08,0.001167523,1.27E-07,6.97E-08,1.22E-07
fact,0.000691727,5.84E-08,1.27E-07,6.97E-08,1.22E-07
working,2.31E-08,5.84E-08,1.27E-07,0.000696878,0.001223941
mines,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
c-the,2.31E-08,0.00058379,1.27E-07,6.97E-08,1.22E-07
conditon,0.000691727,5.84E-08,1.27E-07,6.97E-08,1.22E-07
absord,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
wrote,0.000230591,5.84E-08,0.002541053,6.97E-08,1.22E-07
stupid.,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
0.54,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
sumbody,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
knowledge,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
strategy,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.01713358
hour!!!!!!!!!!!!!!!!!!!!!!!!!,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
before,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.002447759
water...,2.31E-08,5.84E-08,0.00127059,6.97E-08,1.22E-07
viseo,2.31E-08,5.84E-08,0.00127059,6.97E-08,1.22E-07
going,0.001844567,0.012258432,1.27E-07,6.97E-08,1.22E-07
outside,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.004895396
{s006},2.31E-08,0.00058379,1.27E-07,6.97E-08,1.22E-07
swear,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
finger,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.001223941
specific,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.018357398
guessed,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
hello!,2.31E-08,0.00058379,1.27E-07,6.97E-08,1.22E-07
thought,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
it's,2.31E-08,0.00058379,0.002541053,6.97E-08,0.001223941
concur,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
work,0.000691727,5.84E-08,1.27E-07,6.97E-08,0.001223941
happen..okay,2.31E-08,5.84E-08,0.00127059,6.97E-08,1.22E-07
i'd,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
{s003},0.000461159,0.001751255,1.27E-07,6.97E-08,1.22E-07
touch,2.31E-08,0.00058379,1.27E-07,6.97E-08,1.22E-07
yess,2.31E-08,0.001167523,1.27E-07,6.97E-08,1.22E-07
outside;,0.000691727,5.84E-08,1.27E-07,6.97E-08,1.22E-07
b,0.00391968,0.029186662,1.27E-07,6.97E-08,0.001223941
computer,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
waight',0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
typewriter,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
pretty,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
s057,0.000461159,0.00058379,1.27E-07,6.97E-08,0.001223941
numbers,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
wanna,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.001223941
{s022},2.31E-08,0.00058379,1.27E-07,6.97E-08,1.22E-07
come,0.000922295,5.84E-08,1.27E-07,6.97E-08,1.22E-07
more,0.000461159,5.84E-08,1.27E-07,0.009755387,0.004895396
easier,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.001223941
onn!!!,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
toast,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
saying,0.001152863,0.001167523,1.27E-07,6.97E-08,1.22E-07
failed,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
youu,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
observe,2.31E-08,5.84E-08,0.00127059,6.97E-08,1.22E-07
dint,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
from,0.004150248,5.84E-08,0.020327533,0.016723472,1.22E-07
will,0.004150248,0.024516806,1.27E-07,6.97E-08,0.074653044
hand,0.000691727,5.84E-08,1.27E-07,6.97E-08,1.22E-07
soes,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
lollipop,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.001223941
student,2.31E-08,5.84E-08,1.27E-07,0.009058579,1.22E-07
{s049},0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
number,0.000230591,5.84E-08,1.27E-07,6.97E-08,0.001223941
s011,2.31E-08,0.001167523,1.27E-07,6.97E-08,1.22E-07
growing,2.31E-08,5.84E-08,0.00127059,6.97E-08,1.22E-07
:-,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.018357398
keys,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
lugol's,2.31E-08,0.00875604,1.27E-07,6.97E-08,1.22E-07
foot,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
box,0.001383431,5.84E-08,0.006352441,6.97E-08,1.22E-07
asking,2.31E-08,5.84E-08,1.27E-07,0.019510705,1.22E-07
it!,2.31E-08,5.84E-08,0.00127059,6.97E-08,1.22E-07
s021.,2.31E-08,5.84E-08,1.27E-07,0.000696878,1.22E-07
causing,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
maybe,0.000230591,5.84E-08,1.27E-07,6.97E-08,0.001223941
inside;,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.003671578
grams,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.001223941
model,2.31E-08,0.009923504,1.27E-07,6.97E-08,1.22E-07
birthday,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
they,2.31E-08,5.84E-08,0.007622904,0.011149004,1.22E-07
arent!,2.31E-08,5.84E-08,0.00127059,6.97E-08,1.22E-07
thnx,2.31E-08,5.84E-08,0.00127059,6.97E-08,1.22E-07
one....,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
team,2.31E-08,5.84E-08,1.27E-07,0.028569215,1.22E-07
huh,2.31E-08,5.84E-08,1.27E-07,0.000696878,1.22E-07
onn!,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.001223941
siting,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
guy,0.001152863,5.84E-08,1.27E-07,6.97E-08,1.22E-07
using,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
what're,2.31E-08,5.84E-08,0.00127059,6.97E-08,1.22E-07
guys.,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
i'm,0.001152863,5.84E-08,1.27E-07,0.000696878,1.22E-07
iin,0.000230591,5.84E-08,0.00127059,6.97E-08,1.22E-07
though,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
glucose.,2.31E-08,5.84E-08,0.00127059,6.97E-08,1.22E-07
hrs,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
southside,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
room,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.001223941
gained,0.001152863,5.84E-08,1.27E-07,6.97E-08,1.22E-07
may,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
looked,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
saying.,0.002536271,5.84E-08,1.27E-07,6.97E-08,1.22E-07
thing.,2.31E-08,5.84E-08,1.27E-07,0.000696878,1.22E-07
teh,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
haah!,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
so,0.013603537,5.84E-08,1.27E-07,0.018813897,1.22E-07
once,0.000230591,5.84E-08,1.27E-07,6.97E-08,0.001223941
bottomof,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
own,0.000461159,5.84E-08,1.27E-07,0.010452196,1.22E-07
responsible,2.31E-08,5.84E-08,1.27E-07,0.000696878,0.033043219
s037.,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
other,0.000691727,5.84E-08,1.27E-07,0.010452196,1.22E-07
asdfjkl;,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
tought,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
jeeze!,2.31E-08,5.84E-08,0.00127059,6.97E-08,1.22E-07
eno,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
says,0.000922295,5.84E-08,1.27E-07,6.97E-08,1.22E-07
placed,2.31E-08,0.00875604,1.27E-07,6.97E-08,1.22E-07
asked,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
take,0.000461159,5.84E-08,1.27E-07,6.97E-08,0.001223941
brain,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.001223941
s058,0.001844567,5.84E-08,1.27E-07,6.97E-08,0.001223941
introducing,2.31E-08,5.84E-08,1.27E-07,0.009755387,1.22E-07
group,0.001152863,5.84E-08,1.27E-07,6.97E-08,1.22E-07
4,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
guys,0.003458544,5.84E-08,1.27E-07,6.97E-08,1.22E-07
{s028},0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
ho's,2.31E-08,5.84E-08,1.27E-07,0.000696878,1.22E-07
salt.,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.001223941
bye,0.001844567,5.84E-08,1.27E-07,6.97E-08,1.22E-07
tutor,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.003671578
{s053},0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
its,0.002536271,0.005837379,0.002541053,6.97E-08,0.003671578
clear,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.001223941
well.,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
even,0.000922295,5.84E-08,1.27E-07,6.97E-08,1.22E-07
gona,2.31E-08,0.00058379,1.27E-07,6.97E-08,1.22E-07
